id,Club,Jour d'entraînement,Début d'entraînement,Fin d'entraînement,training_lat_coord,training_lon_coord,season,season_phase,Groupe,Commentaires,marker_size,created,updated,deleted
1,Basket Club du Linon,Mercredi,20:00,21:30,48.4137,-1.8117,2024-2025,1,A,RAS,15,2024-12-09T13:13:00,,
2,CO Pacé Basket,Jeudi,21:00,23:00,48.1523,-1.7682,2024-2025,1,A,RAS,15,2024-12-09T13:23:00,,
3,Combourg-Chateaubriand,Mercredi,20:30,22:00,48.4054,-1.7429,2024-2025,1,A,Planning pas à jour,15,2024-12-09T14:37:00,,
4,AS Gévezé Basketball,Lundi,20:30,22:00,48.2214,-1.7933,2024-2025,1,A,RAS,15,2024-12-09T14:41:00,,
5,Cadet de Bretagne,Jeudi,20:30,22:00,48.124,-1.6683,2024-2025,1,A,RAS,15,2024-12-09T14:46:00,,
6,Liffré US,Vendredi,20:30,22:00,48.21,-1.5081,2024-2025,1,A,RAS,15,2024-12-09T14:49:00,,
7,Betton US,Vendredi,20:30,22:00,48.1768,-1.6366,2024-2025,1,B,RAS,15,2024-12-09T15:11:00,,
8,Illet Basket Club,Mercredi,20:30,22:30,48.2143,-1.6328,2024-2025,1,B,RAS,15,2024-12-09T15:15:00,,
9,Basket Club Châteaubourg,Pas d'information,Pas d'information,Pas d'information,48.1142,-1.3834,2024-2025,1,B,Information manquantes,15,2024-12-09T15:44:00,,
10,Châteaugiron US,Lundi,20:30,22:00,48.0443,-1.4981,2024-2025,1,B,RAS,15,2024-12-09T15:46:00,,
11,Noyal-Chatillon US,Mercredi,21:00,23:00,48.0352,-1.662,2024-2025,1,B,RAS,15,2024-12-09T15:49:00,,
12,Retiers Basket Club,Mercredi,20:30,22:00,47.9163,-1.3842,2024-2025,1,B,RAS,15,2024-12-09T16:22:00,,
13,Breteil BC,Jeudi,19:00,21:00,48.147,-1.8949,2024-2025,1,C,RAS,20,2024-12-09T16:27:00,,
14,Le Rheu Basket,Vendredi,20:15,21h45,48.1006,-1.8033,2024-2025,1,C,RAS,15,2024-12-09T16:34:00,,
15,US Saint-Gilles Basket,Lundi et Jeudi,20:30,22:00,48.1559,-1.8247,2024-2025,1,C,RAS,15,2024-12-09T16:37:00,,
16,Vezin le Coquet AS,Lundi,20:30,22:00,48.1146,-1.7572,2024-2025,1,C,RAS,15,2024-12-09T16:40:00,,
17,Maure Basket,Pas d'information,Pas d'information,Pas d'information,47.8946,-1.9928,2024-2025,1,C,Information manquantes,15,2024-12-09T16:43:00,,
